"303","Guaraí","0","0","0.00","TO"
"304","Gurupi","0","0","0.00","TO"
"305","Ipueiras","0","0","0.00","TO"
"306","Itacajá","0","0","0.00","TO"
"307","Itaguatins","0","0","0.00","TO"
"308","Itapiratins","0","0","0.00","TO"
"309","Itaporã do Tocantins","0","0","0.00","TO"
"310","Jaú do Tocantins","0","0","0.00","TO"
"311","Juarina","0","0","0.00","TO"
"312","Lagoa da Confusão","0","0","0.00","TO"
"313","Lagoa do Tocantins","0","0","0.00","TO"
"314","Lajeado","0","0","0.00","TO"
"315","Lavandeira","0","0","0.00","TO"
"316","Lizarda","0","0","0.00","TO"
"317","Luzinópolis","0","0","0.00","TO"
"318","Marianópolis do Tocantins","0","0","0.00","TO"
"319","Mateiros","0","0","0.00","TO"
"320","Maurilândia do Tocantins","0","0","0.00","TO"
"321","Miracema do Tocantins","77650000","77650000","0.00","TO"
"322","Miranorte","0","0","0.00","TO"
"323","Monte do Carmo","0","0","0.00","TO"
"324","Monte Santo do Tocantins","0","0","0.00","TO"
"325","Muricilândia","0","0","0.00","TO"
"326","Natividade","0","0","0.00","TO"
"327","Nazaré","0","0","0.00","TO"
"328","Nova Olinda","0","0","0.00","TO"
"329","Nova Rosalândia","0","0","0.00","TO"
"330","Novo Acordo","0","0","0.00","TO"
"331","Novo Alegre","0","0","0.00","TO"
"332","Novo Jardim","0","0","0.00","TO"
"333","Oliveira de Fátima","0","0","0.00","TO"
"334","Palmas","0","0","0.00","TO"
"335","Palmeirante","0","0","0.00","TO"
"336","Palmeiras do Tocantins","0","0","0.00","TO"
"337","Palmeirópolis","0","0","0.00","TO"
"338","Paraíso do Tocantins","77600000","77600000","0.00","TO"
"339","Paranã","0","0","0.00","TO"
"340","Pau d'Arco","0","0","0.00","TO"
"341","Pedro Afonso","0","0","0.00","TO"
"342","Peixe","0","0","0.00","TO"
"343","Pequizeiro","0","0","0.00","TO"
"344","Pindorama do Tocantins","0","0","0.00","TO"
"345","Piraquê","0","0","0.00","TO"
"346","Pium","0","0","0.00","TO"
"347","Ponte Alta do Bom Jesus","0","0","0.00","TO"
"348","Ponte Alta do Tocantins","0","0","0.00","TO"
"349","Porto Alegre do Tocantins","0","0","0.00","TO"
"350","Porto Nacional","0","0","0.00","TO"
"351","Praia Norte","0","0","0.00","TO"
"352","Presidente Kennedy","0","0","0.00","TO"
"353","Pugmil","0","0","0.00","TO"
"354","Recursolândia","0","0","0.00","TO"
"355","Riachinho","0","0","0.00","TO"
"356","Rio da Conceição","0","0","0.00","TO"
"357","Rio dos Bois","0","0","0.00","TO"
"358","Rio Sono","0","0","0.00","TO"
"359","Sampaio","0","0","0.00","TO"
"360","Sandolândia","0","0","0.00","TO"
"361","Santa Fé do Araguaia","0","0","0.00","TO"
"362","Santa Maria do Tocantins","0","0","0.00","TO"
"363","Santa Rita do Tocantins","0","0","0.00","TO"
"364","Santa Rosa do Tocantins","0","0","0.00","TO"
"365","Santa Tereza do Tocantins","0","0","0.00","TO"
"366","Santa Terezinha do Tocantins","0","0","0.00","TO"
"367","São Bento do Tocantins","0","0","0.00","TO"
"368","São Félix do Tocantins","0","0","0.00","TO"
"369","São Miguel do Tocantins","0","0","0.00","TO"
"370","São Salvador do Tocantins","0","0","0.00","TO"
"371","São Sebastião do Tocantins","0","0","0.00","TO"
"372","São Valério da Natividade","0","0","0.00","TO"
"373","Silvanópolis","0","0","0.00","TO"
"374","Sítio Novo do Tocantins","0","0","0.00","TO"
"375","Sucupira","0","0","0.00","TO"
"376","Taguatinga","0","0","0.00","TO"
"377","Taipas do Tocantins","0","0","0.00","TO"
"378","Talismã","0","0","0.00","TO"
"379","Tocantínia","0","0","0.00","TO"
"380","Tocantinópolis","0","0","0.00","TO"
"381","Tupirama","0","0","0.00","TO"
"382","Tupiratins","0","0","0.00","TO"
"383","Wanderlândia","0","0","0.00","TO"
"384","Xambioá","0","0","0.00","TO"
"385","Rio Branco","0","0","0.00","AC"
"386","Maceió","0","0","0.00","AL"
"387","Manaus","0","0","0.00","AM"
